161031 11:16:12	   50 Connect	root@localhost as anonymous on 
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_permalinks' LIMIT 1
		   53 Query	SELECT * FROM wp_posts WHERE ID = 4 LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_switched' LIMIT 1
		   53 Query	SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN (9) ORDER BY meta_id ASC
		   53 Query	SELECT * FROM wp_posts WHERE ID = 9 LIMIT 1
		   53 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_type') AND tr.object_id IN (9) ORDER BY t.name ASC
		   53 Query	SELECT term_id, meta_key, meta_value FROM wp_termmeta WHERE term_id IN (2) ORDER BY meta_id ASC
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_lock_down_admin' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient_timeout__wc_activation_redirect' LIMIT 1
		   53 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient__wc_activation_redirect' LIMIT 1
		   53 Query	SELECT * FROM wp_posts WHERE ID = 38 LIMIT 1
		   53 Query	SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN (38) ORDER BY meta_id ASC
		   53 Query	SELECT meta_id FROM wp_postmeta WHERE meta_key = '_edit_lock' AND post_id = 38
		   53 Query	SHOW FULL COLUMNS FROM `wp_postmeta`
		   53 Query	UPDATE `wp_postmeta` SET `meta_value` = '1477937803:1' WHERE `post_id` = 38 AND `meta_key` = '_edit_lock'
		   53 Quit	
161031 11:16:58	   54 Connect	root@localhost as anonymous on 
		   54 Query	SET NAMES utf8mb4
		   54 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_ci'
		   54 Query	SELECT @@SESSION.sql_mode
		   54 Query	SET SESSION sql_mode='NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		   54 Init DB	wordpress
		   54 Query	SELECT option_name, option_value FROM wp_options WHERE autoload = 'yes'
161031 11:16:59	   54 Query	SELECT option_value FROM wp_options WHERE option_name = 'WPLANG' LIMIT 1
		   54 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_mods_twentysixteen' LIMIT 1
		   54 Query	SELECT option_value FROM wp_options WHERE option_name = 'current_theme' LIMIT 1
		   54 Query	SELECT option_value FROM wp_options WHERE option_name = 'mods_Twenty Sixteen' LIMIT 1
